familia,dn,dn_menor,unidade_dn,variante,significado,valor_mm,confiavel,nome_no_dxf,arquivo,fonte
VALVULA_HIDRAULICA,75,,mm,,altura_total_mm,121.5,1,"VALV. PLASTICA  DOROT 75X2""",pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,face_a_face_mm,188.0,1,VALV. PLASTICA  DOROT 75X1,pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,altura_total_mm,121.5,1,VALV. PLASTICA  DOROT 75X1,pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,face_a_face_mm,235.0,1,"VALV. PLASTICA  DOROT 75X3""",pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,altura_total_mm,121.5,1,"VALV. PLASTICA  DOROT 75X3""",pecas_CAD3.dxf,DXF da casa
TE,225,,mm,SOLDA,face_a_face_mm,465.0,1,TE PVC SOLDAVEL 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,225,,mm,SOLDA,altura_total_mm,362.0,1,TE PVC SOLDAVEL 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
ADAPTADOR_FLANGE,225,,mm,,comprimento_mm,133.0,1,ADAPTADOR P/FL 225MM SOLDA,pecas_CAD3.dxf,DXF da casa
ADAPTADOR_FLANGE,225,,mm,,d_externo_mm,272.0,1,ADAPTADOR P/FL 225MM SOLDA,pecas_CAD3.dxf,DXF da casa
FLANGE,225,,mm,,espessura_mm,32.0,1,FL 225MM,pecas_CAD3.dxf,DXF da casa
FLANGE,225,,mm,,d_externo_mm,353.0,1,FL 225MM,pecas_CAD3.dxf,DXF da casa
CURVA,225,,mm,90/SOLDA,envelope_x_mm,362.0,1,CURVA 90. SOLDA 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,225,,mm,90/SOLDA,envelope_y_mm,362.0,1,CURVA 90. SOLDA 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,225,,mm,90/SOLDA,envelope_x_mm,363.0,1,CURVA 90. SOLDA 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,225,,mm,90/SOLDA,envelope_y_mm,363.0,1,CURVA 90. SOLDA 225MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,face_a_face_mm,258.0,1,"VALV. PLASTICA  DOROT 75X3""S",pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,altura_total_mm,156.2,1,"VALV. PLASTICA  DOROT 75X3""S",pecas_CAD3.dxf,DXF da casa
TE,160,,mm,SOLDA,face_a_face_mm,339.0,1,TE PVC SOLDAVEL 160MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,160,,mm,SOLDA,altura_total_mm,262.0,1,TE PVC SOLDAVEL 160MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,125,,mm,SOLDA,face_a_face_mm,339.0,1,TE PVC SOLDAVEL 125MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,125,,mm,SOLDA,altura_total_mm,262.0,1,TE PVC SOLDAVEL 125MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
ADAPTADOR_FLANGE,160,,mm,,comprimento_mm,92.0,1,ADAPTADOR P/FL 160MM SOLDA,pecas_CAD3.dxf,DXF da casa
ADAPTADOR_FLANGE,160,,mm,,d_externo_mm,213.0,1,ADAPTADOR P/FL 160MM SOLDA,pecas_CAD3.dxf,DXF da casa
FLANGE,160,,mm,,espessura_mm,30.0,1,FL 160MM,pecas_CAD3.dxf,DXF da casa
FLANGE,160,,mm,,d_externo_mm,289.0,1,FL 160MM,pecas_CAD3.dxf,DXF da casa
CURVA,125,,mm,90/SOLDA,envelope_x_mm,219.0,1,CURVA 90. SOLDA 125MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,125,,mm,90/SOLDA,envelope_y_mm,219.0,1,CURVA 90. SOLDA 125MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,160,,mm,90/SOLDA,envelope_x_mm,278.0,1,CURVA 90. SOLDA 160MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
CURVA,160,,mm,90/SOLDA,envelope_y_mm,278.0,1,CURVA 90. SOLDA 160MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,90,,mm,SOLDA,face_a_face_mm,199.0,1,TE PVC SOLDAVEL 90MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,90,,mm,SOLDA,altura_total_mm,154.0,1,TE PVC SOLDAVEL 90MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
TE,110,,mm,SOLDA,face_a_face_mm,239.0,1,TE PVC SOLDAVEL 110MM PLASSON/FIP,pecas_CAD3.dxf,DXF da casa
